SD_System,SD_System_Name,SD_Sub_System,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD point
2000,Reforming,2000-06,Nitrogen Circuit,MECHANICAL(ROTARY),1,0.00,0.00,0,0.00,0.00,0.00
2000,Reforming,2000-06,Nitrogen Circuit,PIPING,13,0.00,13.00,13,0.00,13.00,0.00
3000,Compression and Synthesis,3000-01,Synthesis Gas Compression,INSTRUMENT,747,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-01,Synthesis Gas Compression,MECHANICAL(ROTARY),3,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-01,Synthesis Gas Compression,MECHANICAL(STATIC),5,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-01,Synthesis Gas Compression,PIPING,76,60.00,8.00,62,15.00,47.00,2.00
3000,Compression and Synthesis,3000-02,Methanol Synthesis,INSTRUMENT,127,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-02,Methanol Synthesis,MECHANICAL(STATIC),15,0.00,0.00,7,0.00,7.00,0.00
3000,Compression and Synthesis,3000-02,Methanol Synthesis,PIPING,60,21.00,17.00,34,4.00,30.00,14.00
3000,Compression and Synthesis,3000-03,Synthesis Gas Cooling,INSTRUMENT,270,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-03,Synthesis Gas Cooling,MECHANICAL(STATIC),10,0.00,0.00,6,0.00,6.00,0.00
3000,Compression and Synthesis,3000-03,Synthesis Gas Cooling,PIPING,106,27.00,73.00,98,12.00,86.00,0.00
3000,Compression and Synthesis,3000-04,Hydrogen System,INSTRUMENT,147,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-04,Hydrogen System,MECHANICAL(ROTARY),1,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-04,Hydrogen System,MECHANICAL(STATIC),2,0.00,0.00,0,0.00,0.00,0.00
3000,Compression and Synthesis,3000-04,Hydrogen System,PIPING,10,9.00,0.00,7,0.00,7.00,0.00
4000,Utility,4000-01,Nitrogen,INSTRUMENT,61,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-01,Nitrogen,PIPING,46,21.00,22.00,36,19.00,17.00,1.00
4000,Utility,4000-02,HHP, HP and LP Steam,INSTRUMENT,240,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-02,HHP, HP and LP Steam,MECHANICAL(STATIC),2,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-02,HHP, HP and LP Steam,PIPING,175,76.00,77.00,145,9.00,136.00,3.00
4000,Utility,4000-03,MP Steam,INSTRUMENT,56,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-03,MP Steam,MECHANICAL(STATIC),1,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-03,MP Steam,PIPING,37,37.00,0.00,37,6.00,31.00,0.00
4000,Utility,4000-04,Boiler Feed Water (BFW) Generation & Distribution,INSTRUMENT,497,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-04,Boiler Feed Water (BFW) Generation & Distribution,MECHANICAL(ROTARY),6,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-04,Boiler Feed Water (BFW) Generation & Distribution,MECHANICAL(STATIC),5,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-04,Boiler Feed Water (BFW) Generation & Distribution,PIPING,123,49.00,54.00,101,56.00,45.00,2.00
4000,Utility,4000-05,Blow Down,INSTRUMENT,17,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-05,Blow Down,MECHANICAL(STATIC),4,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-05,Blow Down,PIPING,40,15.00,18.00,23,10.00,13.00,1.00
4000,Utility,4000-06,DM & Polishing Water & Neutralization System,INSTRUMENT,249,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-06,DM & Polishing Water & Neutralization System,MECHANICAL(ROTARY),11,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-06,DM & Polishing Water & Neutralization System,MECHANICAL(STATIC),17,0.00,0.00,4,0.00,4.00,0.00
4000,Utility,4000-06,DM & Polishing Water & Neutralization System,PIPING,132,25.00,87.00,107,47.00,60.00,1.00
4000,Utility,4000-07,Plant Air,INSTRUMENT,6,0.00,0.00,0,0.00,0.00,6.00
4000,Utility,4000-07,Plant Air,MECHANICAL(ROTARY),1,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-07,Plant Air,PIPING,13,0.00,0.00,7,0.00,7.00,0.00
4000,Utility,4000-08,Cooling Water,INSTRUMENT,526,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-08,Cooling Water,MECHANICAL(ROTARY),8,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-08,Cooling Water,PIPING,580,136.00,424.00,497,139.00,358.00,8.00
4000,Utility,4000-09,Oily Water Treatment,INSTRUMENT,20,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-09,Oily Water Treatment,MECHANICAL(ROTARY),2,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-09,Oily Water Treatment,PIPING,242,3.00,183.00,19,9.00,10.00,2.00
4000,Utility,4000-10,Sanitary Water Collection,INSTRUMENT,12,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-10,Sanitary Water Collection,MECHANICAL(ROTARY),1,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-10,Sanitary Water Collection,PIPING,17,0.00,7.00,2,0.00,2.00,0.00
4000,Utility,4000-11,Instrument Air,INSTRUMENT,69,0.00,0.00,0,0.00,0.00,21.00
4000,Utility,4000-11,Instrument Air,PIPING,14,0.00,0.00,9,2.00,7.00,1.00
4000,Utility,4000-12,COC Water and Lab Chemical Sump,INSTRUMENT,25,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-12,COC Water and Lab Chemical Sump,MECHANICAL(ROTARY),4,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-12,COC Water and Lab Chemical Sump,PIPING,19,0.00,6.00,0,0.00,0.00,0.00
4000,Utility,4000-13,Slope Close Drain,MECHANICAL(ROTARY),1,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-13,Slope Close Drain,PIPING,34,0.00,25.00,8,0.00,8.00,0.00
4000,Utility,4000-14,Fire Water,INSTRUMENT,33,0.00,0.00,0,0.00,0.00,33.00
4000,Utility,4000-14,Fire Water,MECHANICAL(STATIC),1,0.00,0.00,0,0.00,0.00,0.00
4000,Utility,4000-14,Fire Water,PIPING,221,0.00,0.00,139,35.00,104.00,0.00
4000,Utility,4000-15,Potable & Service Water,PIPING,110,0.00,0.00,72,13.00,59.00,0.00
5000,Distillation & Methanol Product,5000-01,Crude Methanol and Stabilizer & Slope Methanol,INSTRUMENT,414,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-01,Crude Methanol and Stabilizer & Slope Methanol,MECHANICAL(ROTARY),8,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-01,Crude Methanol and Stabilizer & Slope Methanol,MECHANICAL(STATIC),28,0.00,0.00,20,0.00,20.00,0.00
5000,Distillation & Methanol Product,5000-01,Crude Methanol and Stabilizer & Slope Methanol,PIPING,219,45.00,169.00,201,52.00,149.00,3.00
5000,Distillation & Methanol Product,5000-02,Low Pressure (LP) Methanol,INSTRUMENT,462,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-02,Low Pressure (LP) Methanol,MECHANICAL(ROTARY),4,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-02,Low Pressure (LP) Methanol,MECHANICAL(STATIC),27,0.00,0.00,26,0.00,26.00,0.00
5000,Distillation & Methanol Product,5000-02,Low Pressure (LP) Methanol,PIPING,142,25.00,116.00,134,38.00,96.00,0.00
5000,Distillation & Methanol Product,5000-03,Medium Pressure (MP) Methanol,INSTRUMENT,258,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-03,Medium Pressure (MP) Methanol,MECHANICAL(ROTARY),6,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-03,Medium Pressure (MP) Methanol,MECHANICAL(STATIC),19,0.00,0.00,19,0.00,19.00,0.00
5000,Distillation & Methanol Product,5000-03,Medium Pressure (MP) Methanol,PIPING,135,35.00,100.00,131,54.00,77.00,0.00
5000,Distillation & Methanol Product,5000-04,Methanol Product,INSTRUMENT,205,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-04,Methanol Product,MECHANICAL(ROTARY),4,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-04,Methanol Product,MECHANICAL(STATIC),18,0.00,0.00,14,0.00,14.00,0.00
5000,Distillation & Methanol Product,5000-04,Methanol Product,PIPING,128,23.00,97.00,120,30.00,90.00,3.00
5000,Distillation & Methanol Product,5000-05,Liquid Off Stream,INSTRUMENT,60,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-05,Liquid Off Stream,MECHANICAL(ROTARY),2,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-05,Liquid Off Stream,MECHANICAL(STATIC),2,0.00,0.00,0,0.00,0.00,0.00
5000,Distillation & Methanol Product,5000-05,Liquid Off Stream,PIPING,31,11.00,19.00,29,7.00,22.00,0.00
7000,Flare,7000-01,Flare System,INSTRUMENT,143,0.00,0.00,0,0.00,0.00,0.00
7000,Flare,7000-01,Flare System,MECHANICAL(ROTARY),2,0.00,0.00,0,0.00,0.00,0.00
7000,Flare,7000-01,Flare System,MECHANICAL(STATIC),3,0.00,0.00,2,0.00,2.00,0.00
7000,Flare,7000-01,Flare System,PIPING,107,22.00,75.00,75,13.00,62.00,2.00
BLD,#N/A,BLD-01,Substation,PIPING,4,0.00,3.00,2,0.00,2.00,0.00
BLD,#N/A,BLD-02,Control Building,PIPING,5,0.00,5.00,5,0.00,5.00,0.00
BLD,#N/A,BLD-03,Laboratory,,0,0.00,0.00,0,0.00,0.00,0.00
BLD,#N/A,BLD-04,Security Building,,0,0.00,0.00,0,0.00,0.00,0.00
BLD,#N/A,BLD-05,Diesel Room,,0,0.00,0.00,0,0.00,0.00,0.00
BLD,#N/A,BLD-06,Warehouse Building,PIPING,3,0.00,0.00,0,0.00,0.00,0.00
BLD,#N/A,BLD-07,Analyzer House,,0,0.00,0.00,0,0.00,0.00,0.00
DCS,Distributed Control System,DCS-01,Panels & Marshaling Cabinets,INSTRUMENT,2537,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-01,Earthing & Roof Lightning System for Substation,ELECTRICAL,281,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-02,Earthing & Roof Lightning System for Control Building,ELECTRICAL,188,0.00,0.00,0,0.00,0.00,0.00
